FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1974-01-07,ILO,-0.2734
1974-01-08,ILO,-0.3401
1974-01-09,ILO,-1.0401
1974-01-10,ILO,1.7599
1974-01-11,ILO,-0.3804
1974-01-14,ILO,-1.0471
1974-01-15,ILO,-1.0471
1974-01-16,ILO,0.8878
1974-01-17,ILO,0.2212
1974-01-18,ILO,1.0545
1974-01-22,ILO,2.4825
1974-01-23,ILO,1.9492
1974-01-24,ILO,0.7159
1974-01-25,ILO,3.8159
1974-01-28,ILO,2.2557
1974-01-29,ILO,0.889
1974-01-30,ILO,1.389
1974-01-31,ILO,1.7909
1974-02-01,ILO,1.8576
1974-02-04,ILO,1.1242
1974-02-05,ILO,3.112
1974-02-06,ILO,-0.888
1974-02-07,ILO,0.112
1974-02-08,ILO,-1.0214
1974-02-11,ILO,1.2776
1974-02-12,ILO,1.011
1974-02-13,ILO,-0.5557
1974-02-14,ILO,-0.989
1974-02-15,ILO,0.7061
1974-02-18,ILO,-0.5273
1974-02-19,ILO,-0.5273
1974-02-20,ILO,-0.075
1974-02-21,ILO,0.7916
1974-02-22,ILO,1.2583
1974-02-25,ILO,-0.2322
1974-02-26,ILO,-1.8989
1974-02-27,ILO,-0.8655
1974-02-28,ILO,-0.2989
1974-03-01,ILO,-1.7989
1974-03-04,ILO,-1.2816
1974-03-05,ILO,-1.4816
1974-03-06,ILO,-0.715
1974-03-07,ILO,-1.4802
1974-03-08,ILO,-2.1469
1974-03-11,ILO,-2.3802
1974-03-12,ILO,-3.1584
1974-03-13,ILO,-2.3584
1974-03-14,ILO,-1.8918
1974-03-15,ILO,-1.6251
1974-03-18,ILO,-1.5343
1974-03-19,ILO,-1.0676
1974-03-20,ILO,-1.9343
1974-03-21,ILO,-1.7676
1974-03-22,ILO,-0.9066
1974-03-25,ILO,-0.24
